Map1,Map2,Shuffle2,Computation,Shuffle1,Reduce1,Split,Synchronization,Reduce2,Communication,Number of nodes,Amount of data (MB)
546273091, 146229467, 122742793, 788881761, 118380944, 127769664, 2755073, 558133132, 198611, 780698329, 7, 49.5
402380589, 148691643, 126620237, 648979417, 112855885, 103954650, 2786427, 563552824, 227348, 798660845, 8, 49.5
419173702, 263495212, 110934947, 653060946, 114499982, 95146835, 2727977, 567546335, 235458, 782610624, 9, 49.5
401300223, 123632533, 89384424, 539417591, 100779381, 89994820, 2474241, 572640108, 293099, 762046021, 10, 49.5
397685165, 250738689, 75333362, 728507084, 96607398, 85237208, 2440286, 569105361, 308322, 714669586, 11, 49.5
408671682, 116027914, 111646669, 605417163, 137165385, 84646123, 2565129, 551185038, 210256, 784988735, 12, 49.5
388686802, 266558329, 123548000, 662345748, 140513813, 81161299, 2791688, 494481029, 174146, 749459035, 13, 49.5
391127587, 132504803, 114509995, 597756193, 134051684, 80603645, 2481452, 487509690, 266006, 599292185, 14, 49.5
404849656, 253185810, 116459080, 600984522, 134103599, 79334559, 2821813, 433443380, 300199, 544663695, 15, 49.5
361153217, 143940291, 122866633, 576331502, 132592092, 76489108, 2461082, 441935179, 198689, 552883568, 16, 49.5
408371757, 265710952, 120820729, 583355698, 134251643, 75223250, 2967906, 392722843, 324903, 511052020, 17, 49.5
327074763, 131763975, 123403012, 467684530, 133556684, 73058235, 2810836, 393549816, 251670, 512035336, 18, 49.5
319385838, 139780613, 127786608, 486560052, 130106093, 70758162, 3178208, 394459227, 310622, 514597786, 19, 49.5
303731053, 139368793, 237320891, 507878922, 135397577, 70789726, 2784647, 354599873, 344561, 578607208, 20, 49.5
327300843, 252908394, 239526882, 575557650, 136667618, 70330898, 2745723, 327826878, 294665, 565380043, 21, 49.5
319711993, 258439274, 133391301, 575693072, 129981004, 70571855, 2760546, 345812995, 622176, 458386082, 22, 49.5
346490391, 180148487, 168930598, 555054695, 177520137, 70007528, 2527533, 308402606, 388176, 457877555, 23, 49.5
352720912, 186937919, 270108286, 557943749, 169660524, 68997868, 2721397, 316741058, 419751, 571571459, 24, 49.5
